id,title,description,publishTime,viewCount,likeCount,commentCount
tBEBc4KQVsU,I Hope This Magic Trick Works,WE ATTEMPTED POPULAR MAGIC TRICKS AND THIS HAPPENED OPEN and follow all these guys! Chris Ramsey ...,2018-09-11 21:13:59+00:00,38291307,653970,19881.0
q0OK-zHnvnA,Can A Glowing 1000 Degree Sword Slice A Car In Half?,WILL THE SWORD CUT RIGHT THRU THE CAR????? New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2018-09-06 21:09:00+00:00,60639734,981127,39105.0
0hVZOJCYBBM,Important Youtube Announcement (please watch),I CAN'T BELIEVE WE REACHED OUR GOAL!!!!! YOU GUYS ARE AMAZING! New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2019-12-28 21:00:06+00:00,32530674,2367667,135851.0
KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",New Merch - https://shopmrbeast.com/ SUBSCRIBE OR ELSE ---------------------------------------------------------------- follow all of these ...,2020-02-08 21:00:02+00:00,75192102,1843970,54804.0
fWcSBWadolA,"Paying People $10,000 To Eat Ghost Pepper",YOU WON'T BELIEVE HOW THEY REACTED! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-01 20:05:01+00:00,35855635,1025971,36346.0
YR6Wh2Zy9jE,"2,256 Miles In One Uber Ride (World Record)",DOWNLOAD QUIDD HERE - http://bit.ly/2hGAS06 *i changed the title because I am stupid and put the wrong amount of miles ...,2017-10-28 22:30:00+00:00,39156556,1008489,43598.0
Z9WQy9jEY8M,"Giving 10,000 Presents To Kids For Christmas","Download Lords Mobile here for to win BIG prizes and a $350 pack for all! http://igg.com/event/mrbeast Tons of IPHONE 11 PROS, ...",2019-12-23 21:00:04+00:00,49037908,2593615,176241.0
2nd73lyvq4w,Giant Monopoly Game With Real Money,"WE PLAYED A GAME OF MONOPOLY WITH REAL CASH, IT WAS CRAZY New Merch - https://shopmrbeast.com/ SUBSCRIBE ...",2019-02-15 22:05:00+00:00,60207564,1415291,67121.0
n6qc4LHN2KQ,I Opened The World&#39;s First FREE Store,EVERYTHING IN THE STORE WAS %100 FREE!!!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-15 20:00:00+00:00,53864910,1668829,75576.0
nd-bwvNB7YA,Destroying My Friend&#39;s Car And Surprising Him With A New One - Slime,YOU WON'T BELIEVE WHAT CAR WE GOT HIM!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2018-08-28 22:08:59+00:00,85303113,1936029,64569.0
